title,price_gbp,rating,availability,page,scraped_at,price_category,rating_label,in_stock,price_inr,recommended
A Light in the Attic,51.77,3,In stock,1,2026-09-27 00:04:29,Expensive,Good,1,5487.62,No
Tipping the Velvet,53.74,1,In stock,1,2026-09-27 00:04:29,Expensive,Poor,1,5696.44,No
Soumission,50.1,1,In stock,1,2026-09-27 00:04:29,Expensive,Poor,1,5310.6,No
Sharp Objects,47.82,4,In stock,1,2026-09-27 00:04:29,Expensive,Good,1,5068.92,No
Sapiens: A Brief History of Humankind,54.23,5,In stock,1,2026-09-27 00:04:29,Expensive,Excellent,1,5748.38,No
The Requiem Red,22.65,1,In stock,1,2026-09-27 00:04:29,Medium,Poor,1,2400.9,No
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,In stock,1,2026-09-27 00:04:29,Medium,Good,1,3534.04,No
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,In stock,1,2026-09-27 00:04:29,Affordable,Good,1,1900.58,No
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,In stock,1,2026-09-27 00:04:29,Medium,Good,1,2395.6,No
The Black Maria,52.15,1,In stock,1,2026-09-27 00:04:29,Expensive,Poor,1,5527.9,No
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,In stock,1,2026-09-27 00:04:29,Affordable,Poor,1,1482.94,No
Shakespeare's Sonnets,20.66,4,In stock,1,2026-09-27 00:04:29,Medium,Good,1,2189.96,No
Set Me Free,17.46,5,In stock,1,2026-09-27 00:04:29,Affordable,Excellent,1,1850.76,Yes
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,In stock,1,2026-09-27 00:04:29,Expensive,Excellent,1,5542.74,No
Rip it Up and Start Again,35.02,5,In stock,1,2026-09-27 00:04:29,Medium,Excellent,1,3712.12,No
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,In stock,1,2026-09-27 00:04:29,Expensive,Good,1,6068.5,No
Olio,23.88,1,In stock,1,2026-09-27 00:04:29,Medium,Poor,1,2531.28,No
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,In stock,1,2026-09-27 00:04:29,Medium,Poor,1,3984.54,No
Libertarianism for Beginners,51.33,2,In stock,1,2026-09-27 00:04:29,Expensive,Poor,1,5440.98,No
It's Only the Himalayas,45.17,2,In stock,1,2026-09-27 00:04:29,Expensive,Poor,1,4788.02,No
In Her Wake,12.84,1,In stock,2,2026-09-27 00:04:30,Affordable,Poor,1,1361.04,No
How Music Works,37.32,2,In stock,2,2026-09-27 00:04:30,Medium,Poor,1,3955.92,No
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,In stock,2,2026-09-27 00:04:30,Medium,Good,1,3235.12,No
Chase Me (Paris Nights #2),25.27,5,In stock,2,2026-09-27 00:04:30,Medium,Excellent,1,2678.62,No
Black Dust,34.53,5,In stock,2,2026-09-27 00:04:30,Medium,Excellent,1,3660.18,No
Birdsong: A Story in Pictures,54.64,3,In stock,2,2026-09-27 00:04:30,Expensive,Good,1,5791.84,No
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,In stock,2,2026-09-27 00:04:30,Medium,Good,1,2385.0,No
Aladdin and His Wonderful Lamp,53.13,3,In stock,2,2026-09-27 00:04:30,Expensive,Good,1,5631.78,No
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5,In stock,2,2026-09-27 00:04:30,Expensive,Excellent,1,4271.8,No
Wall and Piece,44.18,4,In stock,2,2026-09-27 00:04:30,Expensive,Good,1,4683.08,No
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,In stock,2,2026-09-27 00:04:30,Affordable,Excellent,1,1871.96,Yes
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,In stock,2,2026-09-27 00:04:30,Medium,Good,1,3291.3,No
The Elephant Tree,23.82,5,In stock,2,2026-09-27 00:04:30,Medium,Excellent,1,2524.92,No
The Bear and the Piano,36.89,1,In stock,2,2026-09-27 00:04:30,Medium,Poor,1,3910.34,No
Sophie's World,15.94,5,In stock,2,2026-09-27 00:04:30,Affordable,Excellent,1,1689.64,Yes
Penny Maybe,33.29,3,In stock,2,2026-09-27 00:04:30,Medium,Good,1,3528.74,No
Maude (1883-1993):She Grew Up with the country,18.02,2,In stock,2,2026-09-27 00:04:30,Affordable,Poor,1,1910.12,No
