title,price_gbp,rating,availability,page,scraped_at,price_category,rating_label,in_stock,price_inr,recommended
Set Me Free,17.46,5,In stock,1,2026-09-27 00:04:29,Affordable,Excellent,1,1850.76,Yes
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,In stock,2,2026-09-27 00:04:30,Affordable,Excellent,1,1871.96,Yes
Sophie's World,15.94,5,In stock,2,2026-09-27 00:04:30,Affordable,Excellent,1,1689.64,Yes
Untitled Collection: Sabbath Poems 2014,14.27,4,In stock,3,2026-09-27 00:04:31,Affordable,Good,1,1512.62,Yes
This One Summer,19.49,4,In stock,3,2026-09-27 00:04:31,Affordable,Good,1,2065.94,Yes
Thirst,17.27,5,In stock,3,2026-09-27 00:04:31,Affordable,Excellent,1,1830.62,Yes
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,In stock,5,2026-09-27 00:04:33,Affordable,Excellent,1,1442.66,Yes
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,In stock,5,2026-09-27 00:04:33,Affordable,Excellent,1,1414.04,Yes
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,In stock,5,2026-09-27 00:04:33,Affordable,Good,1,1636.64,Yes
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,In stock,5,2026-09-27 00:04:33,Affordable,Good,1,1486.12,Yes
